page_no,title,price,condition,photo_link
1,"New ListingApple MacBook Pro 12,1 Intel i5-5257U @2.70GHz 8GB RAM 256GB Mac OS El Capitan",$399.98,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/bh0AAOSw9j5gEr-3/s-l225.jpg
1,"Apple MacBook Pro13"" 500GB HDD/ Intel i5 /New 16 GB RAM. Mac OS Mojave",$399.95,Refurbished,https://i.ebayimg.com/thumbs/images/g/OYoAAOSwO29f~xDf/s-l225.jpg
1,Apple MacBook Air A1369 13.3 Laptop MC503LL/A 2010 Mac OS X Lion READ,$189.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/ep8AAOSwDyZf-0xM/s-l225.jpg
1,"Apple MacBook 13.3"" Laptop - MA700LL/A (November, 2006) Mac OS Lion  160 GB HD ",$70.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/e80AAOSwK7RgAga-/s-l225.jpg
1,"APPLE MACINTOSH POWERBOOK G4 15"" **READ** ",$99.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7ggAAOSw7ZlgEZTw/s-l225.jpg
1,"Apple MacBook 13"" Laptop | UPGRADED 8GB RAM+1TB HD | MAC OS HIGH SIERRA 2017",$275.00 to $375.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/V88AAOSw3iRe7WDB/s-l225.jpg
1,"New ListingWorking Apple iBook G4 Laptop A1133 1 GB Ram, Mac OS 10.5",$79.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qRAAAOSw2x5fxCD1/s-l225.jpg
1,"Apple Mac Mini 2014 MGEM2LL/A i5-4260U 1.4GHz, 4GB RAM, 500GB HDD PC655362",$212.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/aD8AAOSwLW5gC0p-/s-l225.jpg
1,"Apple MacBook Air 13.3"" Laptop i5 1.8GHz 8GB 128GB Mac OS (MQD32LL/A)",$555.39,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/J9cAAOSw6qdf3U-c/s-l225.jpg
1,Macbook 1TB RAM 4GB Mac Mojave + Linux + Windows10 Pro,$348.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/mOUAAOSwb~xd7vgP/s-l225.jpg
1,2020 Mac OS Catalina - READ ENTIRE DESCRIPTION - Upgraded to current model year ,"$1,063.00",Refurbished,https://i.ebayimg.com/thumbs/images/g/1YMAAOSwyN5f5OrH/s-l225.jpg
1,"Apple MacBook 13"" Laptop - UPDATED 2017 MAC OS + UPGRADE to SSD or MORE RAM ?",$137.00 to $335.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/K88AAOSw0FRfrrpp/s-l225.jpg
1,"Apple MacBook 13"" Laptop UPGRADED 8GB+500GB HD MAC OS 2017",$339.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/y0IAAOSwevReznwT/s-l225.jpg
1,Apple Mac book 13 in. 2008 model,$110.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/d0kAAOSwsQxgBeDO/s-l225.jpg
1,Apple MacBook Pro 15 inch Touch Bar Core i7 16GB 512GB SSD Mac OSx2020 Big Sur,"$1,339.00",Refurbished,https://i.ebayimg.com/thumbs/images/g/ANsAAOSwgQNf-BTT/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" RETINA MAC LAPTOP | QUAD CORE I7 | 1TB SSD | 16GB | OS2020",$999.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/eQYAAOSwdLpf4h4h/s-l225.jpg
1,mac mini late 2014 big sur 8gig 1600 ddr3 ram 1tb sata hd,$320.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/AdwAAOSw~FZf~pt1/s-l225.jpg
1,"APPLE MACBOOK PRO 15"" MAC LAPTOP PRE-RETINA / CORE I5 / 500GB / OS2020",$579.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/7MoAAOSwf-dfMxOt/s-l225.jpg
1,"Apple 12"" PowerBook G4 Aluminum (Mac OS 10.4 and iLife '06 install discs)",$76.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/jTMAAOSwzkVgEeL5/s-l225.jpg
1,Apple MacBook Air 13 Inch Laptop 256GB SSD 8GB RAM Core i7 2.20GHz Mac OS 2020,$549.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qscAAOSwK05f~Bb0/s-l225.jpg
1,A1398 MacBook Mac Pro 512GB SSD15 Inch Retina Laptop 2.0 i7 8GB Ram  Refurbished,$550.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qdMAAOSwOtNgCkDf/s-l225.jpg
1,"Apple Mac book Pro 13"" Intel Core 2 Duo 2.4GHz 4GB RAM 250GB Mid 2010 ",$170.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/7bAAAOSwP9tgBdyx/s-l225.jpg
1,Mac Mini MC270LL/A Mid-2010 8GB Core 2 Duo 2.4GHz 320GB+WARRANTY!,$199.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/T1UAAOSw6ZZf8pkX/s-l225.jpg
1,Apple Mac Mini Mid 2011 Intel Core i7 2.7GHz 8GB 750GB HDD,$275.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/230AAOSwUKRfTQoJ/s-l225.jpg
1,"Apple Macbook Air 13"" 256GB SSD Great Condition Mac OS Big Sur",$395.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/vXwAAOSw0jJfzVLi/s-l225.jpg
1,"Apple Macbook Pro 15"" Laptop i7 / UPGRADED 16GB RAM + 2TB SSD / MAC OS 2018",$845.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/WS4AAOSwk0xfxdel/s-l225.jpg
1,"MacBook Pro, 13-inch, Mid-2010, Silver",$195.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/MA4AAOSwB~Bfa7Oi/s-l225.jpg
1,"Apple 12"" MacBook Intel Core M3 256GB SSD 8GB RAM MAC OS Gray Webcam Student ",$609.99,Open Box,https://i.ebayimg.com/thumbs/images/g/E4QAAOSwdpRf82qH/s-l225.jpg
1,Apple Mac Mini 500GB A1347,$274.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/4rMAAOSwOl1ddCLP/s-l225.jpg
1,New Listing0885909223138,$175.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/cWwAAOSwFgxgBLoW/s-l225.jpg
1,New ListingApple MacBook Air A1466 Intel Core i7-4650U 1.7GHz CPU 8GB RAM 128GB SSD Mac OSX,$339.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/eb4AAOSwc-df468p/s-l225.jpg
1,"Apple MacBook Air 13"" early 2015 i7 8gb 500gb Mac laptop notebook OSX 10.14",$499.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/8msAAOSwVu1f8UW7/s-l225.jpg
1,"15"" APPLE MACBOOK PRO / INTEL / 8GB / 1TB  / 3YR WARRANTY / Mac OSx-2015",$615.62,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/FdMAAOSwI2NdI-6i/s-l225.jpg
1,▓ APPLE MACBOOK PRO 15 IN RETINA MAC LAPTOP | QUAD CORE I7 | 512GB SSD OS-x ▓,$742.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/mF0AAOSwv-1ebPHg/s-l225.jpg
1,"Apple MacBook Pro 13"" Mac Laptop | Used | 500 GB | OSX-2019 | WARRANTY!",$499.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/JWkAAOSwRodf6QYm/s-l225.jpg
1,Apple Macbook Pro 13 Mac Laptop / i5 2.3GHZ 250GB SSD / Warranty + MAC OS 2017,$399.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/Pu0AAOSwDPhc-f4K/s-l225.jpg
2,"Apple Macbook 13"" Laptop | UPGRADED 8GB RAM 1TB HD | MAC OS 2017 | WARRANTY",$239.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/hZoAAOSwitRgCNni/s-l225.jpg
2,"APPLE MACBOOK PRO 13"" MAC LAPTOP / i5 2.3GHz UPGRADED 8GB RAM 1TB HD / WARRANTY",$379.99,Refurbished,https://i.ebayimg.com/thumbs/images/g/zzoAAOSwYDNc4GKU/s-l225.jpg
2,"APPLE MACBOOK PRO 15"" i5 PRE RETINA | UPGRADED 8GB RAM +1TB HD. MAC OS 2017",$349.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/GE4AAOSwSH9e99iI/s-l225.jpg
2,"MACBOOK PRO 15"" MAC LAPTOP / 500GB / APPLE LAPTOP / CORE i5 / SILVER",$485.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/t0IAAOSwpsJf2hOo/s-l225.jpg
2,"APPLE I MAC 21.5"" MID 2011 A1311 INTEL CORE I5 2.50 GHZ 4GB RAM 500GB *WORKING*",$199.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/Ph0AAOSwSYVftE4K/s-l225.jpg
2,"Apple MacBook 13"" Laptop UPGRADED 4GB+160 SSD HD ** MAC OS 2017 ** Warranty ** ",$298.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/xBEAAOSw4MBezc7L/s-l225.jpg
2,Mac book,$175.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/6qsAAOSw6ohe6Cvf/s-l225.jpg
2,"A1278 Mac Book Pro 10GB DDR3 Ram, 1TB SSD HDD Hybrid Drive Late 2010 Upgraded",$207.50,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/NgsAAOSwa3BgEg0W/s-l225.jpg
2,Apple MacBook Pro 13 PRE-RETINA / Core i7 / 16GB RAM 1TB SSD / Warranty OS-MAC,$362.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/~kcAAOSwF2tfvUi2/s-l225.jpg
2,Apple MacBook 12 inch RETINA Mac Laptop + Warranty / 512GB SSD / Gold /2016-2017,$659.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/DtYAAOSwDwJfmFPG/s-l225.jpg
2,"MacBook Air 11"" A1370 Mid-2011 1.6GHz i5/ 2GB RAM/ 60GB SSD/ Mac OSX 10.13",$135.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/TrcAAOSwyqNgCy31/s-l225.jpg
2,"MacBook Pro 13"" 3 Thunderport 2 Port",$600.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/6zIAAOSweHpgCgtk/s-l225.jpg
2,A1398 MacBook Mac Pro 512GB SSD15 Inch Retina Laptop 2.0 i7 8GB Ram  Refurbished,$550.00,Refurbished,https://i.ebayimg.com/thumbs/images/g/qdMAAOSwOtNgCkDf/s-l225.jpg
2,▓ APPLE MACBOOK PRO 15 IN RETINA MAC LAPTOP | QUAD CORE I7 | 512GB SSD OS-x ▓,$742.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/mF0AAOSwv-1ebPHg/s-l225.jpg
2,"15"" APPLE MACBOOK PRO / QUAD CORE i7 / 16GB RAM / 500GB SSD / LAPTOP MAC OS-2019",$659.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/R9UAAOSweHddfWp0/s-l225.jpg
2,"Apple Macbook Pro 13"" / i5 8GB RAM 250GB SSD / MAC OS 2019 / 2 Years Warranty",$349.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/Sk4AAOSwuShfcoP0/s-l225.jpg
2,| Apple MacBook Air 13 | Intel Core i5 | 500GB SSD | LAPTOP MAC | 3 YR | OS-x,$549.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/0LoAAOSwOc1f~wPI/s-l225.jpg
2,"Apple 12"" MacBook Intel Core M3 256GB SSD 8GB RAM MAC OS Gray Webcam Student ",$609.99,Open Box,https://i.ebayimg.com/thumbs/images/g/E4QAAOSwdpRf82qH/s-l225.jpg
2,MACBOOK PRO 13 TOUCH RETINA ° CORE i7 ° 16GB RAM 1TB SSD ° 3 YR WARRANTY OS-MAC,$381.00,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/r2AAAOSw6ntfgzhP/s-l225.jpg
2,"New ListingApple Macbook Air 11"" Laptop A1465 1.7GHz Core i5 4GB RAM 121GB SSD Mac Mojave",$9.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/OBoAAOSwUrJgANK6/s-l225.jpg
2,Apple Macbook Pro A1278 Core 2 Duo 2.4GHz 4GB RAM HDD 13.3'' Mac OS Laptop,$249.99,Pre-Owned,https://i.ebayimg.com/thumbs/images/g/GOkAAOSwVSNf86vt/s-l225.jpg
